"avatar_c19a55 src","username_c19a55","botText__82f07","timestamp_c19a55","separator_c19a55","hiddenVisually_b18fe2","embedDescription__623de","embedFieldValue__623de","embedFieldValue__623de 2","embedFieldValue__623de 3","embedFieldValue__623de 4","embedFieldValue__623de 5","embedFieldValue__623de 6","embedFieldValue__623de 7","embedFieldValue__623de 8","embedFieldValue__623de 9","timestamp__75297","hiddenVisually_b18fe2 2","latin24CompactTimeStamp_c19a55","separator_c19a55 2"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","9:54 AM","—","Friday, November 14, 2025 at 9:54 AM","Put Sweep","COIN","310","12/19/2025","Put","Ask","200","$920K","203","2,215","7 hours ago","Friday, November 14, 2025 at 9:39 AM","",""
"","","","","[","Friday, November 14, 2025 at 9:56 AM","Call Sweep","TSLA","480","12/05/2025","Call","Above","4,453","$1.1M","4,863","55,309","7 hours ago","Friday, November 14, 2025 at 9:41 AM","9:56 AM","]"
"","","","","[","Friday, November 14, 2025 at 9:56 AM","Put Sweep","IREN","55","12/19/2025","Put","Ask","587","$704.4K","1,615","4,388","7 hours ago","Friday, November 14, 2025 at 9:41 AM","9:56 AM","]"
"","","","","[","Friday, November 14, 2025 at 9:58 AM","Unusual Put Sweep","INSM","185","12/19/2025","Put","Above","682","$549.5K","682","13","7 hours ago","Friday, November 14, 2025 at 9:42 AM","9:58 AM","]"
"","","","","[","Friday, November 14, 2025 at 9:58 AM","Unusual Put Sweep","INSM","185","12/19/2025","Put","Above","716","$597.3K","1,398","13","7 hours ago","Friday, November 14, 2025 at 9:42 AM","9:58 AM","]"
"","","","","[","Friday, November 14, 2025 at 9:58 AM","Call Sweep","LRCX","100","01/15/2027","Call","Ask","200","$1.2M","800","4,034","7 hours ago","Friday, November 14, 2025 at 9:43 AM","9:58 AM","]"
"","","","","[","Friday, November 14, 2025 at 9:59 AM","Put Sweep","TSLA","200","07/17/2026","Put","Ask","1,500","$1.1M","1,503","1,276","7 hours ago","Friday, November 14, 2025 at 9:44 AM","9:59 AM","]"
"","","","","[","Friday, November 14, 2025 at 9:59 AM","Call Sweep","NVDA","190","11/21/2025","Call","Ask","1,002","$591.2K","13,821","68,280","7 hours ago","Friday, November 14, 2025 at 9:44 AM","9:59 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:01 AM","Put Sweep","PLTR","170","01/16/2026","Put","Ask","450","$693K","611","7,141","7 hours ago","Friday, November 14, 2025 at 9:45 AM","10:01 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:02 AM","—","Friday, November 14, 2025 at 10:02 AM","Call Sweep","IBIT","53.5","12/26/2025","Call","Ask","1,000","$450K","1,011","1","7 hours ago","Friday, November 14, 2025 at 9:46 AM","",""
"","","","","[","Friday, November 14, 2025 at 10:03 AM","Put Sweep","PLTR","170","11/28/2025","Put","Above","3,012","$2.2M","6,117","12,640","7 hours ago","Friday, November 14, 2025 at 9:47 AM","10:03 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:06 AM","Highly Unusual Call Sweep","APLD","25","11/28/2025","Call","Above","10,012","$1.3M","10,054","176","7 hours ago","Friday, November 14, 2025 at 9:51 AM","10:06 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:08 AM","Call Sweep","MU","280","04/17/2026","Call","Ask","1,000","$3.6M","1,103","668","6 hours ago","Friday, November 14, 2025 at 9:53 AM","10:08 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:10 AM","—","Friday, November 14, 2025 at 10:10 AM","Call Sweep","TSLL","30","01/21/2028","Call","Ask","1,000","$705K","1,605","15,731","6 hours ago","Friday, November 14, 2025 at 9:54 AM","",""
"","","","","[","Friday, November 14, 2025 at 10:11 AM","Call Sweep","BABA","170","12/19/2025","Call","Ask","1,884","$1.2M","1,914","14,086","6 hours ago","Friday, November 14, 2025 at 9:55 AM","10:11 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:11 AM","Call Sweep","NVDA","190","11/21/2025","Call","Above","777","$508.2K","19,357","68,280","6 hours ago","Friday, November 14, 2025 at 9:56 AM","10:11 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:12 AM","Put Sweep","TSLA","350","12/19/2025","Put","Ask","878","$803.4K","3,629","17,798","6 hours ago","Friday, November 14, 2025 at 9:57 AM","10:12 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:15 AM","Call Sweep","NFLX","1,160","03/20/2026","Call","Ask","240","$1.9M","262","875","6 hours ago","Friday, November 14, 2025 at 9:59 AM","10:15 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:15 AM","Call Sweep","AAPL","275","11/21/2025","Call","Ask","1,681","$512.7K","11,777","26,649","6 hours ago","Friday, November 14, 2025 at 10:00 AM","10:15 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:16 AM","Put Sweep","AAPL","270","01/16/2026","Put","Ask","473","$425.7K","702","6,375","6 hours ago","Friday, November 14, 2025 at 10:01 AM","10:16 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:18 AM","—","Friday, November 14, 2025 at 10:18 AM","Put Sweep","NVDA","170","11/21/2025","Put","Ask","9,730","$1.8M","16,250","68,405","6 hours ago","Friday, November 14, 2025 at 10:03 AM","",""
"","","","","[","Friday, November 14, 2025 at 10:18 AM","Put Sweep","NVDA","170","11/28/2025","Put","Above","2,001","$534.7K","2,478","9,629","6 hours ago","Friday, November 14, 2025 at 10:03 AM","10:18 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:19 AM","Put Sweep","TSLA","397.5","11/14/2025","Put","Above","909","$550.2K","6,944","5,694","6 hours ago","Friday, November 14, 2025 at 10:04 AM","10:19 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:19 AM","Put Sweep","TSLA","397.5","11/14/2025","Put","Above","909","$550.2K","6,944","5,694","6 hours ago","Friday, November 14, 2025 at 10:04 AM","10:19 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:21 AM","Put Sweep","OXY","42.5","12/19/2025","Put","Ask","2,991","$514.5K","3,156","8,049","6 hours ago","Friday, November 14, 2025 at 10:06 AM","10:21 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:22 AM","Unusual Put Sweep","TSLA","392.5","11/14/2025","Put","Above","1,146","$459K","10,764","3,057","6 hours ago","Friday, November 14, 2025 at 10:07 AM","10:22 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:27 AM","—","Friday, November 14, 2025 at 10:27 AM","Call Sweep","AVGO","320","12/19/2025","Call","Above","200","$662.1K","744","4,635","6 hours ago","Friday, November 14, 2025 at 10:11 AM","",""
"","","","","[","Friday, November 14, 2025 at 10:30 AM","Call Sweep","RIOT","15","01/16/2026","Call","Ask","3,571","$599.9K","3,766","10,934","6 hours ago","Friday, November 14, 2025 at 10:15 AM","10:30 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:31 AM","Call Sweep","META","650","01/16/2026","Call","Ask","320","$616K","1,510","13,689","6 hours ago","Friday, November 14, 2025 at 10:15 AM","10:31 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:32 AM","Call Sweep","AMD","450","01/15/2027","Call","Ask","200","$425K","744","2,078","6 hours ago","Friday, November 14, 2025 at 10:16 AM","10:32 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:35 AM","—","Friday, November 14, 2025 at 10:35 AM","Call Sweep","TSLA","400","11/21/2025","Call","Ask","485","$531.1K","16,396","15,384","6 hours ago","Friday, November 14, 2025 at 10:20 AM","",""
"","","","","[","Friday, November 14, 2025 at 10:37 AM","Put Sweep","NVDA","185","01/16/2026","Put","Ask","426","$566.6K","2,100","12,313","6 hours ago","Friday, November 14, 2025 at 10:22 AM","10:37 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:41 AM","Put Sweep","IBIT","50","01/15/2027","Put","Ask","1,000","$855K","1,111","9,133","6 hours ago","Friday, November 14, 2025 at 10:26 AM","10:41 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:45 AM","—","Friday, November 14, 2025 at 10:45 AM","Call Sweep","BOIL","33","11/28/2025","Call","Ask","1,516","$424.5K","1,860","4,175","6 hours ago","Friday, November 14, 2025 at 10:30 AM","",""
"","","","","[","Friday, November 14, 2025 at 10:47 AM","Call Sweep","TSLA","400","11/21/2025","Call","Ask","501","$656.3K","20,675","15,384","6 hours ago","Friday, November 14, 2025 at 10:32 AM","10:47 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:48 AM","Unusual Call Sweep","RIOT","17","01/16/2026","Call","Ask","5,167","$676.9K","31,359","6,577","6 hours ago","Friday, November 14, 2025 at 10:33 AM","10:48 AM","]"
"https://cdn.discordapp.com/avatars/1151206734187216996/e9a6358a5ec27523e796b9fcf10c482e.webp?size=80","Cheddar Options Flow","APP","10:53 AM","—","Friday, November 14, 2025 at 10:53 AM","Put Sweep","JPM","265","06/18/2026","Put","Ask","500","$472.5K","500","1,177","6 hours ago","Friday, November 14, 2025 at 10:37 AM","",""
"","","","","[","Friday, November 14, 2025 at 10:53 AM","Call Sweep","NVDA","180","12/19/2025","Call","Ask","349","$575.9K","1,664","24,121","6 hours ago","Friday, November 14, 2025 at 10:38 AM","10:53 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:53 AM","Call Sweep","VRT","190","01/16/2026","Call","Ask","380","$448.4K","422","2,142","6 hours ago","Friday, November 14, 2025 at 10:38 AM","10:53 AM","]"
"","","","","[","Friday, November 14, 2025 at 10:54 AM","Unusual Call Sweep","TSLA","387.5","11/21/2025","Call","Ask","200","$423K","1,866","167","6 hours ago","Friday, November 14, 2025 at 10:39 AM","10:54 AM","]"
